note that although duplicates are printed, they are manually overwritten in the database.

(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 4, 5, ))
(userid = 4, clicks = ( 4, 5, ))
(userid = 4, clicks = ( 4, 5, ))
(userid = 4, clicks = ( 4, 5, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 4, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 4, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 2, 5, ))
(userid = 4, clicks = ( 2, 4, ))
(userid = 4, clicks = ( 2, 3, ))
(userid = 4, clicks = ( 2, 5, ))
(userid = 4, clicks = ( 2, 3, ))
(userid = 4, clicks = ( 2, 5, ))
(userid = 4, clicks = ( 2, 3, ))
(userid = 4, clicks = ( 2, 4, ))
(userid = 4, clicks = ( 2, 5, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 4, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 4, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 1, 3, ))
(userid = 4, clicks = ( 1, 4, ))
(userid = 4, clicks = ( 1, 2, ))
(userid = 4, clicks = ( 1, 5, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 4, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 3, 4, ))
(userid = 4, clicks = ( 3, 5, ))
(userid = 4, clicks = ( 4, 5, ))
(userid = 4, clicks = ( 4, 5, ))
(userid = 4, clicks = ( 4, 5, ))
(userid = 4, clicks = ( 4, 5, ))
(userid = 4, clicks = ( 2, 5, ))
(userid = 4, clicks = ( 2, 4, ))
(userid = 4, clicks = ( 2, 3, ))
(userid = 4, clicks = ( 2, 5, ))
(userid = 4, clicks = ( 2, 3, ))
(userid = 4, clicks = ( 2, 5, ))
(userid = 4, clicks = ( 2, 3, ))
(userid = 4, clicks = ( 2, 4, ))
(userid = 4, clicks = ( 2, 5, ))
